,Entity,Life expectancy
1109,Australia,82.959
1189,Austria,81.258
1789,Belgium,81.139
3041,Canada,82.117
4282,Cyprus,80.513
4613,Denmark,80.583
5788,Finland,81.382
5992,France,82.32799999999999
6421,Germany,80.902
6647,Greece,81.727
7429,Hong Kong,84.277
7687,Iceland,82.601
8059,Ireland,81.615
8199,Israel,82.50299999999999
8347,Italy,83.008
8575,Japan,84.09
9760,Luxembourg,81.803
10320,Malta,82.06299999999999
11803,Netherlands,81.862
11945,New Zealand,81.859
12622,Norway,82.029
13491,Portugal,81.444
15062,Singapore,83.083
15275,Slovenia,80.852
15563,South Korea,82.37899999999999
15748,Spain,83.145
16305,Sweden,82.382
16449,Switzerland,83.31
17976,United Kingdom,81.111
